id,uri,uuid,version,status,title,statement,kind,domain,level_band,example_item,example_expected,example_response,n_evidence_patterns,n_sources,first_source,review_date,license
math.dec.longer-is-larger,https://oml.learnco.io/m/math.dec.longer-is-larger,b9976592-9045-4327-8b17-485c7114d359,0.1.0,draft,Longer decimal is larger,"A decimal with more digits after the point is a larger number, because the digits after the point make a bigger whole number.",overgeneralization,math.decimals,primary;middle,"Which is larger, 0.5 or 0.25?",0.5,0.25,2,3,"Resnick, L. B., Nesher, P., Leonard, F., Magone, M., Omanson, S., & Peled, I. (1989). Conceptual bases of arithmetic errors: The case of decimal fractions. Journal for Research in Mathematics Education, 20(1), 8-27.",,CC-BY-4.0
math.dec.shorter-is-larger,https://oml.learnco.io/m/math.dec.shorter-is-larger,e3685617-2ee2-41c1-875f-5e0d835be18f,0.1.0,draft,Shorter decimal is larger,"A decimal with fewer digits after the point is a larger number, because more digits mean smaller pieces, like a fraction with a bigger denominator.",misapplied-analogy,math.decimals,primary;middle,"Which is larger, 0.85 or 0.8?",0.85,0.8,2,3,"Resnick, L. B., Nesher, P., Leonard, F., Magone, M., Omanson, S., & Peled, I. (1989). Conceptual bases of arithmetic errors: The case of decimal fractions. Journal for Research in Mathematics Education, 20(1), 8-27.",,CC-BY-4.0
math.frac.add-across,https://oml.learnco.io/m/math.frac.add-across,20f1dd60-ea8a-4e14-ab41-12addc94b751,1.0.0,reviewed,Adding fractions across numerators and denominators,"Fractions are added by adding the numerators together and adding the denominators together, treating the top and bottom numbers as independent whole numbers, the same way fractions are multiplied.",overgeneralization,math.fractions,primary;middle,1/2 + 1/3,5/6,2/5,2,4,"Brown, J. S., & VanLehn, K. (1980). Repair theory: A generative theory of bugs in procedural skills. Cognitive Science, 4(4), 379-426.",2026-09-05,CC-BY-4.0
math.frac.add-numerators-keep-denominator,https://oml.learnco.io/m/math.frac.add-numerators-keep-denominator,434a29b0-8c52-4db3-a2d6-81c86e5e5d6c,0.1.0,draft,Adding numerators and keeping one denominator,"To add fractions you add the numerators and keep the denominator, whichever denominator is written, because the denominator is just a label that does not take part in the sum.",overgeneralization,math.fractions,primary;middle,1/2 + 1/3,5/6,2/3,1,2,"Ashlock, R. B. (2010). Error Patterns in Computation: Using Error Patterns to Help Each Student Learn (10th ed.). Allyn & Bacon.",,CC-BY-4.0
math.frac.add-whole-to-numerator,https://oml.learnco.io/m/math.frac.add-whole-to-numerator,692fc169-3842-429b-bf5a-36be6eb6e910,0.1.0,draft,Adding a whole number to the numerator,To add a whole number and a fraction you add the whole number to the numerator.,procedural-bug,math.fractions,primary;middle,2 + 1/3 = ?,2 1/3 (= 7/3),3/3 (= 1),1,3,"Ashlock, R. B. (2010). Error Patterns in Computation: Using Error Patterns to Help Each Student Learn (10th ed.). Allyn & Bacon.",,CC-BY-4.0
math.frac.bigger-denominator-bigger-fraction,https://oml.learnco.io/m/math.frac.bigger-denominator-bigger-fraction,1288d189-d36c-4a7d-925d-62c88196a161,0.1.0,draft,Bigger denominator means bigger fraction,"The fraction with the bigger denominator is the bigger fraction, because the denominator is a bigger number.",overgeneralization,math.fractions,primary;middle,"Which is larger, 1/3 or 1/8?",1/3,1/8,2,4,"Stafylidou, S., & Vosniadou, S. (2004). The development of students' understanding of the numerical value of fractions. Learning and Instruction, 14(5), 503-518.",,CC-BY-4.0
math.frac.cancel-matching-digits,https://oml.learnco.io/m/math.frac.cancel-matching-digits,9b81e6e0-ad37-42aa-9494-bc6892e7140b,0.1.0,draft,Cancelling matching digits,A fraction is simplified by crossing out a digit that appears in both the numerator and the denominator.,notation-confusion,math.fractions,middle;secondary,Simplify 12/24,1/2,1/4 (cancelling the 2s),1,2,"Ashlock, R. B. (2010). Error Patterns in Computation: Using Error Patterns to Help Each Student Learn (10th ed.). Allyn & Bacon.",,CC-BY-4.0
math.frac.compare-by-gap,https://oml.learnco.io/m/math.frac.compare-by-gap,c2797bf8-5aff-4019-98c3-3462a3c42f71,0.1.0,draft,Comparing fractions by the gap between numerator and denominator,The size of a fraction is decided by how many pieces are missing from the whole; fractions with the same gap between numerator and denominator are equal.,misapplied-analogy,math.fractions,primary;middle,"Which is larger, 5/6 or 7/8?",7/8,They are the same,2,2,"Pearn, C., & Stephens, M. (2004). Why you have to probe to discover what Year 8 students really think about fractions. In I. Putt, R. Faragher & M. McLean (Eds.), Mathematics Education for the Third Millennium: Towards 2010 (Proceedings of MERGA 27, pp. 430-437). MERGA.",,CC-BY-4.0
math.frac.compare-whole-number-components,https://oml.learnco.io/m/math.frac.compare-whole-number-components,210d5db3-daa8-49be-aaf9-aa453ea6b234,0.1.0,draft,Comparing fractions by their whole-number parts,To compare two fractions you compare the numerators and the denominators as whole numbers; a fraction with bigger numbers is a bigger fraction.,overgeneralization,math.fractions,primary;middle;secondary,"Which is larger, 4/5 or 5/9?",4/5,5/9,1,4,"Obersteiner, A., Van Dooren, W., Van Hoof, J., & Verschaffel, L. (2013). The natural number bias and magnitude representation in fraction comparison by expert mathematicians. Learning and Instruction, 28, 64-72.",,CC-BY-4.0
math.frac.cross-multiply-to-multiply,https://oml.learnco.io/m/math.frac.cross-multiply-to-multiply,fef262fa-6980-416d-bd92-851b64e59458,0.1.0,draft,Cross-multiplying to multiply fractions,To multiply two fractions you multiply diagonally: the first numerator by the second denominator over the first denominator by the second numerator.,procedural-bug,math.fractions,middle;secondary,2/3 x 4/5 = ?,8/15,10/12,1,2,"Ashlock, R. B. (2010). Error Patterns in Computation: Using Error Patterns to Help Each Student Learn (10th ed.). Allyn & Bacon.",,CC-BY-4.0
math.frac.divide-larger-by-smaller,https://oml.learnco.io/m/math.frac.divide-larger-by-smaller,78a649f3-688d-49a2-a85c-7be491860757,0.1.0,draft,You can only divide a larger number by a smaller one,"In a division the bigger number must be divided by the smaller number, so if the divisor is bigger the two numbers should be swapped.",overgeneralization,math.fractions,primary;middle;adult,1/2 / 3 = ?,1/6,6,2,3,"Fischbein, E., Deri, M., Nello, M. S., & Marino, M. S. (1985). The role of implicit models in solving verbal problems in multiplication and division. Journal for Research in Mathematics Education, 16(1), 3-17.",,CC-BY-4.0
math.frac.divide-makes-smaller,https://oml.learnco.io/m/math.frac.divide-makes-smaller,72884d31-1a9a-418f-92ee-f073eef02008,0.1.0,draft,Division always makes smaller,"Dividing always gives a result smaller than the number you started with, so dividing by a fraction cannot make a number bigger.",overgeneralization,math.fractions,primary;middle;secondary;adult,"Without calculating, is 6 / 1/2 more or less than 6?",More (it is 12),Less,2,4,"Fischbein, E., Deri, M., Nello, M. S., & Marino, M. S. (1985). The role of implicit models in solving verbal problems in multiplication and division. Journal for Research in Mathematics Education, 16(1), 3-17.",,CC-BY-4.0
